Repeat,Genotype,Condition,DaysToFlower,LeafNumber
1,Ws-2,LD,8,26
1,Ws-2,LD,8,26
1,Ws-2,LD,8,26
1,Ws-2,LD,9,27
1,Ws-2,LD,8,27
1,Ws-2,LD,7,27
1,Ws-2,LD,9,27
1,Ws-2,LD,10,28
1,Ws-2,LD,8,28
1,Ws-2,LD,9,28
1,Ws-2,LD,10,29
1,Ws-2,LD,9,29
1,Ws-2,LD,8,29
1,Ws-2,LD,8,30
1,Ws-2,LD,8,31
1,Ws-2,LD,8,29
2,Ws-2,LD,8,29
2,Ws-2,LD,9,29
2,Ws-2,LD,10,30
2,Ws-2,LD,9,30
2,Ws-2,LD,10,30
2,Ws-2,LD,9,30
2,Ws-2,LD,9,31
2,Ws-2,LD,10,31
2,Ws-2,LD,10,32
2,Ws-2,LD,10,32
2,Ws-2,LD,10,32
2,Ws-2,LD,9,32
2,Ws-2,LD,9,33
2,Ws-2,LD,10,33
2,Ws-2,LD,11,33
2,Ws-2,LD,10,33
2,Ws-2,LD,9,34
2,Ws-2,LD,9,34
2,Ws-2,LD,10,34
1,elf3-4,LD,6,20
1,elf3-4,LD,6,21
1,elf3-4,LD,5,23
1,elf3-4,LD,6,23
1,elf3-4,LD,6,23
1,elf3-4,LD,5,23
1,elf3-4,LD,6,24
1,elf3-4,LD,6,24
1,elf3-4,LD,6,24
1,elf3-4,LD,6,25
1,elf3-4,LD,6,25
1,elf3-4,LD,5,25
1,elf3-4,LD,6,25
1,elf3-4,LD,6,26
1,elf3-4,LD,7,26
2,elf3-4,LD,7,24
2,elf3-4,LD,6,25
2,elf3-4,LD,6,25
2,elf3-4,LD,6,26
2,elf3-4,LD,6,26
2,elf3-4,LD,6,26
2,elf3-4,LD,7,26
2,elf3-4,LD,6,26
2,elf3-4,LD,7,27
2,elf3-4,LD,6,27
2,elf3-4,LD,6,27
2,elf3-4,LD,6,27
2,elf3-4,LD,7,27
2,elf3-4,LD,6,27
2,elf3-4,LD,6,27
2,elf3-4,LD,8,28
2,elf3-4,LD,7,28
2,elf3-4,LD,7,28
2,elf3-4,LD,6,29
2,elf3-4,LD,6,29
1,Ws-2,SD,25,65
1,Ws-2,SD,24,66
1,Ws-2,SD,24,67
1,Ws-2,SD,23,69
1,Ws-2,SD,26,69
1,Ws-2,SD,29,70
1,Ws-2,SD,29,70
1,Ws-2,SD,25,71
1,Ws-2,SD,27,71
1,Ws-2,SD,25,75
2,Ws-2,SD,24,61
2,Ws-2,SD,26,62
2,Ws-2,SD,24,64
2,Ws-2,SD,25,65
2,Ws-2,SD,23,66
2,Ws-2,SD,24,68
2,Ws-2,SD,22,68
2,Ws-2,SD,23,68
2,Ws-2,SD,21,68
2,Ws-2,SD,21,68
2,Ws-2,SD,24,69
2,Ws-2,SD,24,69
2,Ws-2,SD,25,70
1,elf3-4,SD,6,28
1,elf3-4,SD,6,30
1,elf3-4,SD,6,31
1,elf3-4,SD,6,31
1,elf3-4,SD,7,32
1,elf3-4,SD,7,32
1,elf3-4,SD,6,33
1,elf3-4,SD,6,33
1,elf3-4,SD,7,34
1,elf3-4,SD,6,34
1,elf3-4,SD,8,35
2,elf3-4,SD,6,27
2,elf3-4,SD,6,27
2,elf3-4,SD,6,27
2,elf3-4,SD,6,27
2,elf3-4,SD,6,28
2,elf3-4,SD,6,28
2,elf3-4,SD,6,28
2,elf3-4,SD,6,29
2,elf3-4,SD,6,29
2,elf3-4,SD,7,30
2,elf3-4,SD,6,30
2,elf3-4,SD,6,30
2,elf3-4,SD,7,30
2,elf3-4,SD,6,31
2,elf3-4,SD,7,31
2,elf3-4,SD,6,31
2,elf3-4,SD,7,32
2,elf3-4,SD,7,34
