Germination (Date),Flowering (Date),Genotype ,replicate ,Tiller number,Head number,Leaf number,Height (cm),Shoot fresh weight (g),Days to flower,,
3/6/2023,16/8/2023,B289,1,4,3,17,53,9.884,74,,
3/6/2023,16/8/2023,B289,2,3,3,14,52.2,11.485,74,,
3/6/2023,16/8/2023,B289,3,3,3,16,58.4,10.059,74,,
3/6/2023,16/8/2023,B289,4,4,3,17,57.5,10.95,74,,
3/6/2023,16/8/2023,B289,5,4,4,18,55.3,8.928,74,,
3/6/2023,16/8/2023,B290,1,3,3,17,59.5,11.642,74,,
3/6/2023,16/8/2023,B290,2,4,3,20,58.6,10.483,74,,
3/6/2023,16/8/2023,B290,3,5,4,23,57.1,14.14,74,,
3/6/2023,16/8/2023,B290,4,4,4,19,58.6,12.429,74,,
3/6/2023,17/8/2023,B289,6,5,5,22,47.9,12.134,75,,
3/6/2023,17/8/2023,B289,7,4,4,18,51.3,10.355,75,,
3/6/2023,17/8/2023,B289,8,3,3,15,57.2,10.5,75,,
3/6/2023,17/8/2023,B289,9,4,4,18,56.3,10.519,75,,
3/6/2023,17/8/2023,B289,10,3,3,18,54.4,9.985,75,,
3/6/2023,17/8/2023,B289,11,3,3,18,52.1,9.771,75,,
3/6/2023,17/8/2023,B289,12,4,4,18,55,11.304,75,,
3/6/2023,17/8/2023,B290,5,5,5,22,50.9,12.635,75,,
3/6/2023,24/8/2023,B284,1,6,4,28,58.9,20.868,82,,
3/6/2023,25/8/2023,B284,2,5,3,25,70.5,19.383,83,,
3/6/2023,25/8/2023,B284,3,6,4,29,64.5,21.14,83,,
3/6/2023,27/8/2023,B284,4,5,3,26,64.3,23.484,85,,
3/6/2023,28/8/2023,B290,6,5,5,21,46.5,12.674,86,,
3/6/2023,28/8/2023,B285,1,4,4,29,75.7,21.718,86,,
3/6/2023,31/8/2023,B285,2,4,3,27,78.6,22.75,89,,
3/6/2023,31/8/2023,B285,3,4,3,28,71.5,18.718,89,,
3/6/2023,2/9/2023,B284,5,4,4,28,69.8,20.852,91,,
3/6/2023,2/9/2023,B284,6,6,5,33,71.5,32.01,91,,
3/6/2023,2/9/2023,B285,4,3,3,26,68.4,18.359,91,,
3/6/2023,2/9/2023,B285,5,4,3,31,75.4,20.897,91,,
3/6/2023,4/9/2023,B285,6,5,3,34,73.6,21.724,93,,
3/6/2023,4/9/2023,B285,7,5,4,37,70.6,23.311,93,,
3/6/2023,5/9/2023,B285,8,4,3,28,81.4,22.285,94,,
3/6/2023,5/9/2023,B285,9,5,5,35,70.3,20.557,94,,
3/6/2023,6/9/2023,B285,10,4,2,32,75.1,20.58,95,,
3/6/2023,6/9/2023,B284,7,4,4,21,63.2,15.738,95,,
3/6/2023,6/9/2023,B284,8,5,5,29,72.7,21.077,95,,
3/6/2023,8/9/2023,B285,11,4,4,32,64.4,20.645,97,,
3/6/2023,10/9/2023,B285,12,7,4,36,70,22.837,99,,
3/6/2023,10/9/2023,B284,9,4,4,25,62.1,20.116,99,,
3/6/2023,15/9/2023,B284,10,5,5,26,61.2,19.914,104,,
3/6/2023,15/9/2023,B284,11,4,4,25,64.9,19.256,104,,
3/6/2023,21/9/2023,Bowman,1,4,4,31,69.3,21.95,110,,
3/6/2023,22/9/2023,B290,7,5,4,32,76.1,26.536,111,,
3/6/2023,23/9/2023,B284,12,7,7,42,63.5,19.04,112,,
3/6/2023,26/9/2023,B290,8,4,4,31,78.7,22.891,115,,
3/6/2023,26/9/2023,Bowman,2,5,5,40,71.3,25.634,115,,
3/6/2023,26/9/2023,Bowman,3,6,6,41,56.3,30.966,115,,
3/6/2023,26/9/2023,Bowman,4,4,4,30,82,23.918,115,,
3/6/2023,26/9/2023,Bowman,5,4,4,32,72.8,26.19,115,,
3/6/2023,26/9/2023,Bowman,6,5,5,39,75.2,31.431,115,,
3/6/2023,27/9/2023,B290,9,4,4,28,70.9,22.879,116,,
3/6/2023,27/9/2023,B290,10,4,4,26,71.5,25.099,116,,
3/6/2023,27/9/2023,Bowman,7,3,3,26,69.9,20.365,116,,
3/6/2023,27/9/2023,Bowman,8,5,5,32,66,24.081,116,,
3/6/2023,27/9/2023,Bowman,9,4,4,31,72.2,21.937,116,,
3/6/2023,27/9/2023,Bowman,10,6,5,38,75.1,27.473,116,,
3/6/2023,28/9/2023,B290,11,6,4,37,69.9,25.817,117,,
3/6/2023,3/10/2023,B290,12,6,5,35,67.5,21.158,122,,
3/6/2023,3/10/2023,Bowman,11,5,5,31,70.9,24.286,122,,
3/6/2023,5/10/2023,Bowman,12,4,4,29,77.4,24.634,124,,
